INFO:root:Dash app started at 2025-04-16 01:49:20.281467
INFO:dash.dash:Dash is running on http://0.0.0.0:8050/
INFO:root:Fetched price 12180926.0 at 02:21:51
INFO:root:Fetched price 12170836.0 at 02:22:51
INFO:root:Fetched price 12156259.0 at 02:23:51
INFO:root:Fetched price 12159535.0 at 02:24:36
INFO:root:Fetched price 12159535.0 at 02:24:39
INFO:root:Fetched price 12159535.0 at 02:24:44
INFO:root:Fetched price 12159535.0 at 02:24:49
INFO:root:Fetched price 12159535.0 at 02:24:54
INFO:root:Fetched price 12159535.0 at 02:25:00
INFO:root:Fetched price 12155327.0 at 02:25:04
INFO:root:Fetched price 12155327.0 at 02:25:09
INFO:root:Fetched price 12155000.0 at 02:25:15
INFO:root:Fetched price 12152210.0 at 02:25:20
INFO:root:Fetched price 12152210.0 at 02:25:24
INFO:root:Fetched price 12152210.0 at 02:25:29
INFO:root:Fetched price 12152210.0 at 02:25:34
INFO:root:Fetched price 12147777.0 at 02:25:42
INFO:root:Fetched price 12147777.0 at 02:25:46
INFO:root:Fetched price 12147777.0 at 02:25:52
INFO:root:Fetched price 12147777.0 at 02:25:56
INFO:root:Fetched price 12147777.0 at 02:26:02
INFO:root:Fetched price 12147777.0 at 02:26:07
INFO:root:Fetched price 12149088.0 at 02:26:11
INFO:root:Fetched price 12149088.0 at 02:26:17
INFO:root:Fetched price 12153580.0 at 02:26:22
INFO:root:Fetched price 12155712.0 at 02:26:26
INFO:root:Fetched price 12162107.0 at 02:26:31
INFO:root:Fetched price 12159799.0 at 02:26:51
INFO:root:Fetched price 12154916.0 at 02:27:51
INFO:root:Fetched price 12154604.0 at 02:28:51
INFO:root:Fetched price 12150889.0 at 02:29:51
INFO:root:Fetched price 12149305.0 at 02:30:51
INFO:root:Fetched price 12157160.0 at 02:31:51
INFO:root:Fetched price 12157075.0 at 02:32:51
INFO:root:Fetched price 12149501.0 at 02:33:51
INFO:root:Fetched price 12150826.0 at 02:34:51
INFO:root:Fetched price 12150936.0 at 02:35:51
INFO:root:Fetched price 12153879.0 at 02:36:51
INFO:root:Fetched price 12160293.0 at 02:37:51
INFO:root:Fetched price 12163800.0 at 02:38:51
INFO:root:Fetched price 12167800.0 at 02:39:51
INFO:root:Fetched price 12168786.0 at 02:40:51
INFO:root:Fetched price 12169200.0 at 02:41:51
INFO:root:Fetched price 12168202.0 at 02:42:51
INFO:root:Fetched price 12168202.0 at 02:43:51
INFO:root:Fetched price 12168202.0 at 02:44:51
INFO:root:Fetched price 12153876.0 at 02:45:51
INFO:root:Fetched price 12163347.0 at 02:46:51
INFO:root:Fetched price 12164248.0 at 02:47:51
INFO:root:Fetched price 12162644.0 at 02:48:51
INFO:root:Fetched price 12168899.0 at 02:49:51
INFO:root:Fetched price 12156108.0 at 02:50:51
INFO:root:Fetched price 12155885.0 at 02:51:51
INFO:root:Fetched price 12132829.0 at 02:52:51
INFO:root:Fetched price 12117785.0 at 02:53:51
INFO:root:Fetched price 12112044.0 at 02:54:51
INFO:root:Fetched price 12115885.0 at 02:55:51
INFO:root:Fetched price 12124794.0 at 02:56:51
INFO:root:Fetched price 12124540.0 at 02:57:51
INFO:root:Fetched price 12127517.0 at 02:58:51
INFO:root:Fetched price 12117608.0 at 02:59:51
INFO:root:Fetched price 12119766.0 at 03:00:51
INFO:root:Fetched price 12121656.0 at 03:01:51
INFO:root:Fetched price 12121566.0 at 03:02:51
INFO:root:Fetched price 12123665.0 at 03:03:51
INFO:root:Fetched price 12116400.0 at 03:04:51
INFO:root:Fetched price 12126725.0 at 03:05:51
INFO:root:Fetched price 12125400.0 at 03:06:51
INFO:root:Fetched price 12116796.0 at 03:07:51
INFO:root:Fetched price 12117369.0 at 03:08:51
INFO:root:Fetched price 12131934.0 at 03:09:51
INFO:root:Fetched price 12135799.0 at 03:10:51
INFO:root:Fetched price 12140000.0 at 03:11:51
INFO:root:Fetched price 12130467.0 at 03:12:51
INFO:root:Fetched price 12130497.0 at 03:13:51
INFO:root:Fetched price 12123911.0 at 03:14:51
INFO:root:Fetched price 12109313.0 at 03:15:51
INFO:root:Fetched price 12102573.0 at 03:16:51
INFO:root:Fetched price 12092250.0 at 03:17:51
INFO:root:Fetched price 12102336.0 at 03:18:51
INFO:root:Fetched price 12097850.0 at 03:19:51
INFO:root:Fetched price 12101406.0 at 03:20:51
INFO:root:Fetched price 12082373.0 at 03:21:51
INFO:root:Fetched price 12098598.0 at 03:22:51
INFO:root:Fetched price 12094713.0 at 03:23:51
INFO:root:Fetched price 12089998.0 at 03:24:51
INFO:root:Fetched price 12104341.0 at 03:25:51
INFO:root:Fetched price 12101133.0 at 03:26:51
INFO:root:Fetched price 12094136.0 at 03:27:51
INFO:root:Fetched price 12102511.0 at 03:28:51
INFO:root:Fetched price 12104400.0 at 03:29:51
INFO:root:Fetched price 12105357.0 at 03:30:51
INFO:root:Fetched price 12108148.0 at 03:31:51
INFO:root:Fetched price 12107500.0 at 03:32:51
INFO:root:Fetched price 12113800.0 at 03:33:51
INFO:root:Fetched price 12105852.0 at 03:34:51
INFO:root:Fetched price 12106270.0 at 03:35:51
INFO:root:Fetched price 12110900.0 at 03:36:51
INFO:root:Fetched price 12114914.0 at 03:37:51
INFO:root:Fetched price 12112569.0 at 03:38:51
INFO:root:Fetched price 12109818.0 at 03:39:51
INFO:root:Fetched price 12102855.0 at 03:40:51
INFO:root:Fetched price 12108300.0 at 03:41:51
INFO:root:Fetched price 12109219.0 at 03:42:51
INFO:root:Fetched price 12110798.0 at 03:43:51
INFO:root:Fetched price 12116200.0 at 03:44:51
INFO:root:Fetched price 12114950.0 at 03:45:51
INFO:root:Fetched price 12127318.0 at 03:46:51
INFO:root:Fetched price 12120803.0 at 03:47:51
INFO:root:Fetched price 12113703.0 at 03:48:51
INFO:root:Fetched price 12108545.0 at 03:49:51
INFO:root:Fetched price 12102777.0 at 03:50:51
INFO:root:Fetched price 12098636.0 at 03:51:51
INFO:root:Fetched price 12089050.0 at 03:52:51
INFO:root:Fetched price 12083737.0 at 03:53:51
INFO:root:Fetched price 12081941.0 at 03:54:51
INFO:root:Fetched price 12090024.0 at 03:55:51
INFO:root:Fetched price 12082701.0 at 03:56:51
INFO:root:Fetched price 12081895.0 at 03:57:51
INFO:root:Fetched price 12087894.0 at 03:58:51
INFO:root:Fetched price 12084623.0 at 03:59:51
INFO:root:Fetched price 12085961.0 at 04:00:51
INFO:root:Fetched price 12085961.0 at 04:01:51
INFO:root:Fetched price 12085961.0 at 04:02:51
INFO:root:Fetched price 12085961.0 at 04:03:51
INFO:root:Fetched price 12085961.0 at 04:04:51
INFO:root:Fetched price 12085961.0 at 04:05:51
INFO:root:Fetched price 12085961.0 at 04:06:51
INFO:root:Fetched price 12085961.0 at 04:07:51
INFO:root:Fetched price 12085961.0 at 04:08:51
INFO:root:Fetched price 12085961.0 at 04:09:51
INFO:root:Fetched price 12085961.0 at 04:10:51
INFO:root:Fetched price 12085961.0 at 04:11:51
INFO:root:Fetched price 12068200.0 at 04:12:51
INFO:root:Fetched price 12069001.0 at 04:13:51
INFO:root:Fetched price 12071001.0 at 04:14:51
INFO:root:Fetched price 12070065.0 at 04:15:51
INFO:root:Fetched price 12072797.0 at 04:16:51
INFO:root:Fetched price 12075815.0 at 04:17:51
INFO:root:Fetched price 12072536.0 at 04:18:51
INFO:root:Fetched price 12087697.0 at 04:19:51
INFO:root:Fetched price 12078410.0 at 04:20:51
INFO:root:Fetched price 12081647.0 at 04:21:51
INFO:root:Fetched price 12079878.0 at 04:22:51
INFO:root:Fetched price 12076761.0 at 04:23:51
INFO:root:Fetched price 12078281.0 at 04:24:51
INFO:root:Fetched price 12073500.0 at 04:25:51
INFO:root:Fetched price 12067091.0 at 04:26:51
INFO:root:Fetched price 12066506.0 at 04:27:51
INFO:root:Fetched price 12063893.0 at 04:28:51
INFO:root:Fetched price 12065750.0 at 04:29:51
INFO:root:Fetched price 12068403.0 at 04:30:51
INFO:root:Fetched price 12068403.0 at 04:31:51
INFO:root:Fetched price 12068403.0 at 04:32:51
INFO:root:Fetched price 12069700.0 at 04:33:51
INFO:root:Fetched price 12067300.0 at 04:34:51
INFO:root:Fetched price 12061398.0 at 04:35:51
INFO:root:Fetched price 12060764.0 at 04:36:51
INFO:root:Fetched price 12063399.0 at 04:37:51
INFO:root:Fetched price 12062998.0 at 04:38:51
INFO:root:Fetched price 12061000.0 at 04:39:51
INFO:root:Fetched price 12059983.0 at 04:40:51
INFO:root:Fetched price 12060865.0 at 04:41:51
INFO:root:Fetched price 12061499.0 at 04:42:51
INFO:root:Fetched price 12060417.0 at 04:43:51
INFO:root:Fetched price 12058671.0 at 04:44:51
INFO:root:Fetched price 12050872.0 at 04:45:51
INFO:root:Fetched price 12049588.0 at 04:46:51
INFO:root:Fetched price 12043673.0 at 04:47:51
INFO:root:Fetched price 12042817.0 at 04:48:51
INFO:root:Fetched price 12046362.0 at 04:49:51
INFO:root:Fetched price 12053000.0 at 04:50:51
INFO:root:Fetched price 12054506.0 at 04:51:51
INFO:root:Fetched price 12062753.0 at 04:52:51
INFO:root:Fetched price 12064140.0 at 04:53:51
INFO:root:Fetched price 12064828.0 at 04:54:51
INFO:root:Fetched price 12078100.0 at 04:55:51
INFO:root:Fetched price 12067782.0 at 04:56:51
INFO:root:Fetched price 12060445.0 at 04:57:51
INFO:root:Fetched price 12054890.0 at 04:58:51
INFO:root:Fetched price 12051126.0 at 04:59:51
INFO:root:Fetched price 12047683.0 at 05:00:51
INFO:root:Fetched price 12047916.0 at 05:01:51
INFO:root:Fetched price 12045182.0 at 05:02:51
